pc_time,arduino_t_ms,target_deg,angle_deg,error_deg,delta_v,va_out,vb_out,codeA,codeB,count,pid_on,p_term,i_term,d_term,isr,invalid
1773909614.6588078,10062,0.0,-0.108,0.108,0.0056,2.5256,2.4844,2077,2043,-3,1,0.00216,0.003408,0.0,11,0
1773909614.7195354,10112,0.0,-0.108,0.108,0.0056,2.5256,2.4844,2077,2043,-3,1,0.00216,0.003473,0.0,11,0
1773909614.7814672,10162,0.0,-0.108,0.108,0.0057,2.5257,2.4843,2077,2043,-3,1,0.00216,0.003538,0.0,11,0
1773909614.8125255,10212,0.0,-0.108,0.108,0.0058,2.5258,2.4842,2077,2043,-3,1,0.00216,0.003603,0.0,11,0
1773909614.8742075,10262,0.0,-0.108,0.108,0.0058,2.5258,2.4842,2077,2043,-3,1,0.00216,0.003668,0.0,11,0
1773909614.9090793,10312,0.0,-0.108,0.108,0.0059,2.5259,2.4841,2077,2043,-3,1,0.00216,0.003732,0.0,11,0
1773909614.9669497,10362,0.0,-0.108,0.108,0.006,2.526,2.484,2077,2043,-3,1,0.00216,0.003797,0.0,11,0
1773909615.0298457,10412,0.0,-0.108,0.108,0.006,2.526,2.484,2077,2043,-3,1,0.00216,0.003862,0.0,11,0
1773909615.061862,10462,0.0,-0.108,0.108,0.0061,2.5261,2.4839,2077,2042,-3,1,0.00216,0.003927,0.0,11,0
1773909615.1256742,10512,0.0,-0.108,0.108,0.0062,2.5262,2.4838,2077,2042,-3,1,0.00216,0.003992,0.0,11,0
1773909615.1597173,10562,0.0,-0.108,0.108,0.0062,2.5262,2.4838,2077,2042,-3,1,0.00216,0.004056,0.0,11,0
1773909615.2184827,10613,0.0,-0.108,0.108,0.0063,2.5263,2.4837,2077,2042,-3,1,0.00216,0.004121,0.0,11,0
1773909615.2798872,10663,0.0,-0.108,0.108,0.0063,2.5263,2.4837,2077,2042,-3,1,0.00216,0.004186,0.0,11,0
1773909615.310951,10713,0.0,-0.108,0.108,0.0064,2.5264,2.4836,2077,2042,-3,1,0.00216,0.004251,0.0,11,0
1773909615.3730693,10763,0.0,-0.108,0.108,0.0065,2.5265,2.4835,2077,2042,-3,1,0.00216,0.004316,0.0,11,0
